pos	3pG>A
1	0.0264245910479957
2	0.0310098483311924
3	0.0202264506324779
4	0.0209620276162791
5	0.0192727016951537
6	0.025791270646858
7	0.0257386707287023
8	0.0233047725311046
9	0.0232845026985351
10	0.0239707835325365
11	0.0244093460383762
12	0.0216263352954
13	0.0240075107296137
14	0.0225125805597246
15	0.0246119393154324
16	0.0242925968650336
17	0.0243814176505179
18	0.024163653837353
19	0.0221977081879376
20	0.0237915326323971
21	0.0238278421433744
22	0.0265207466093729
23	0.0255865446981727
24	0.0267570957402332
25	0.0270345896381756
