"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0735186273224717,0.0251606942025984,0.00323817050618869,0.0731575236918917,0.424329184857504,-4373.35112280268
"Std.",0.000419280564085985,0.00217285159086316,0.00213560873561143,0.027012518582513,0.00313480664713481,1.61377794716636
"Acceptance ratio",0.24894,0.24004,0.10588,0.24422,0.29428,0.72432
"0%",0.0716959370088131,0.0188800931116521,3.96200409571155e-07,0.0218490660398791,0.411466982752249,-4385.08862318107
"2.5%",0.0726928056072253,0.0209229288406678,0.000186890691247319,0.0361453739990942,0.418215743266987,-4377.42968737437
"5%",0.0728342428052191,0.0214271135529495,0.000374533008285382,0.0412568989292314,0.419183136118979,-4376.44414730621
"7.5%",0.0729210024952032,0.0217923059424759,0.000528906083050104,0.0437504272422409,0.419826820811054,-4375.87105644261
"10%",0.072986040778684,0.0220836393225118,0.000709350796849491,0.0458709558178868,0.420358784708355,-4375.48471852196
"12.5%",0.0730370659812641,0.0223962757631269,0.00082421795505885,0.0477878131838589,0.42075781087257,-4375.16818245584
"15%",0.0730849681364025,0.0226795187542534,0.00096049033065935,0.0494680046226412,0.42110574984877,-4374.91092626275
"17.5%",0.0731303779045022,0.0229379498810898,0.00109115363046958,0.0509711670676373,0.421413738408354,-4374.68052092611
"20%",0.0731727577870032,0.0231676738807771,0.00122390129697743,0.0522059030456261,0.421729061419487,-4374.4811826197
"22.5%",0.0732111505844883,0.0234144128545848,0.00141330983992461,0.0532087076276966,0.421977059916366,-4374.30913166513
"25%",0.0732422699292736,0.0236021656256855,0.00156072128663817,0.054425479371328,0.422194223672312,-4374.14399993472
"27.5%",0.0732740368604906,0.023821438182305,0.0016837703876354,0.0555943009741003,0.422445199475652,-4373.98914599862
"30%",0.0733053300764671,0.0240258853182541,0.00183854396907756,0.0568331782892792,0.422661834471123,-4373.84826932409
"32.5%",0.0733355830225119,0.0242193442457033,0.00196988041907187,0.0581566520090385,0.422870575505328,-4373.72204146839
"35%",0.073362516595161,0.0243887989766326,0.00210513820470484,0.05952032122227,0.423092880041505,-4373.60089500306
"37.5%",0.0733840160923332,0.0245643861754293,0.00223004799718783,0.0606458554999485,0.423310031466436,-4373.48780471853
"40%",0.0734133077358788,0.0247164129480121,0.00240114159311561,0.0617638865645515,0.423534255206472,-4373.38193303373
"42.5%",0.0734398753830082,0.0248548356207327,0.00252669244750436,0.0630006766134466,0.423756286964874,-4373.28034782954
"45%",0.0734669334183349,0.0250004377892103,0.00266435603388956,0.0643110391893411,0.423956166201733,-4373.18859157456
"47.5%",0.0734917720684791,0.0251574967731117,0.00277149323074478,0.0657322973929657,0.424146317031651,-4373.09297024977
"50%",0.0735148656900334,0.0253033214086894,0.00291963274196623,0.0669885721884023,0.424325045580037,-4372.9984451908
"52.5%",0.0735396615741934,0.0254638684762819,0.0030906224392718,0.0687197227449404,0.424502023415296,-4372.91003825094
"55%",0.0735639507858265,0.0255856966321811,0.00321521451014332,0.0702263765335592,0.424701261796226,-4372.82642781454
"57.5%",0.0735938898198397,0.0257219575897686,0.00335833055163614,0.071588004751661,0.424907392195915,-4372.74094684642
"60%",0.0736191484528082,0.0258706260243693,0.00352482769184203,0.0732310483089802,0.425109554963899,-4372.65805773968
"62.5%",0.0736457621513109,0.0260103504518953,0.00368069458575816,0.0748891026126785,0.425330130178987,-4372.57575784475
"65%",0.0736751146532327,0.0261732146142681,0.00386483864444497,0.0764932936542529,0.425535405728014,-4372.49882125367
"67.5%",0.0737005513471859,0.0262934214523247,0.00402681807994168,0.0785697863024743,0.425766735694008,-4372.41895675016
"70%",0.0737302414880307,0.0264405125852298,0.00419650831292871,0.0806504402070867,0.425979812867725,-4372.34316719172
"72.5%",0.0737605404413558,0.0265847518909481,0.00441557915839859,0.0829815413287646,0.426227914922764,-4372.2625853737
"75%",0.0737948646330154,0.0267204561704454,0.00459304893301702,0.0852524858995809,0.426457166698714,-4372.18403582858
"77.5%",0.0738306274885853,0.0268747742024977,0.00479939096845077,0.087900893094519,0.426718391367357,-4372.10095303224
"80%",0.0738649077730267,0.0270458695809784,0.00502325499913769,0.0910237707595657,0.427009989110411,-4372.01787295174
"82.5%",0.0739058642465819,0.0271959331140868,0.00525750211012978,0.0947337757387878,0.427296346096206,-4371.93660891201
"85%",0.0739557545547356,0.0273702609830537,0.00553970692354631,0.0983887631780417,0.427602872698229,-4371.85171374803
"87.5%",0.0740037632465884,0.0275888573375423,0.0058546313482079,0.102919547084822,0.427910494509186,-4371.76242622392
"90%",0.0740620534136712,0.0278546185264818,0.00617774343197979,0.109322531774184,0.428314697860721,-4371.66569451771
"92.5%",0.0741296696738689,0.0281199035107049,0.00659315801713901,0.117034193902503,0.428765956741489,-4371.55780660977
"95%",0.0742153115102755,0.0285518068773089,0.0072352928394956,0.128239127408151,0.429383231723128,-4371.43620204878
"97.5%",0.0743493981096434,0.0292119773540862,0.00812940424733568,0.143168173885709,0.430460165068226,-4371.28744317944
"100%",0.0755295238017565,0.0320670534265369,0.0118910850030099,0.262116838338818,0.435872843664171,-4370.87606387393
