"","Position","C.T","G.A"
"1",1,0.0577387469975935,0.0605645432991261
"2",2,0.0639437175513154,0.066748088287655
"3",3,0.0679728738268283,0.0729899780039854
"4",4,0.072670065295651,0.0768846294890399
"5",5,0.0781021300470646,0.078657989646298
"6",6,0.0820946074651914,0.0806782405553378
"7",7,0.0843839581506902,0.0834144451264667
"8",8,0.0850665504267347,0.0869301462700836
"9",9,0.0865017465708091,0.0890367738520797
"10",10,0.0882910498156662,0.0902399573731402
"11",11,0.0895348899887663,0.0915120359922043
"12",12,0.0907310006863699,0.0924405119126955
"13",-12,0.0898220624281808,0.0933304645965404
"14",-11,0.0900140856572591,0.0910416978822951
"15",-10,0.0906486264394429,0.0879162550739228
"16",-9,0.0909385659233637,0.0846493722452586
"17",-8,0.0896629970904237,0.0823765811012503
"18",-7,0.0862996947707444,0.0815159176834575
"19",-6,0.0826237627594564,0.080154918506715
"20",-5,0.0786489742094773,0.0781194839977078
"21",-4,0.073744690064197,0.0758335854086072
"22",-3,0.0672836823692051,0.0736603664527141
"23",-2,0.0600812604998584,0.0704980516809085
"24",-1,0.0531032868128453,0.0650579425514297
