"","Position","C.T","G.A"
"1",1,0.048226666883509,0.0781438947700765
"2",2,0.0616203781766436,0.078470944312887
"3",3,0.0698379991637481,0.0813871983042596
"4",4,0.0769519285984848,0.0835096893316376
"5",5,0.0835999962968592,0.0845479757107979
"6",6,0.0880193348683665,0.0865075434612358
"7",7,0.0906803916236248,0.0891660595015606
"8",8,0.091906670412444,0.0923818816215679
"9",9,0.0942617709525929,0.0937727290185454
"10",10,0.0974044895239804,0.0937875480415586
"11",11,0.0994012164976018,0.0944363415353692
"12",12,0.0998973183249538,0.0961610983618271
"13",-12,0.0960947755121211,0.0999054483775652
"14",-11,0.09601415558973,0.0977837235238792
"15",-10,0.0955606352923971,0.0956105456142302
"16",-9,0.0949876785152751,0.0930559491360593
"17",-8,0.0931647532024303,0.091140823412527
"18",-7,0.0903014940883233,0.0895401284838055
"19",-6,0.0870686623011257,0.087444916440555
"20",-5,0.0830612511338541,0.0850767969388642
"21",-4,0.0778093753956567,0.0826757744384648
"22",-3,0.0709064687416506,0.0803587561614639
"23",-2,0.0639977718636446,0.0762021316422669
"24",-1,0.0590565457365658,0.0679134343850989
