"","Position","C.T","G.A"
"1",1,0.0939140792348466,0.109450253294676
"2",2,0.113077935756556,0.111442333333044
"3",3,0.12506349432505,0.11661613349643
"4",4,0.134404312132431,0.121380596464388
"5",5,0.140741776630405,0.126710951182407
"6",6,0.142841491293856,0.134317348813845
"7",7,0.141848859232142,0.143311828925949
"8",8,0.141037033222835,0.150695749635629
"9",9,0.145504210154633,0.151859294247552
"10",10,0.15087542144238,0.151210286756692
"11",11,0.154244921598363,0.151746156528145
"12",12,0.157644995936152,0.151606521101105
"13",-12,0.146713680659268,0.162251150149883
"14",-11,0.15216881091135,0.15379278838339
"15",-10,0.156496488693603,0.145605443657896
"16",-9,0.159244688702073,0.138090429019505
"17",-8,0.15910507166695,0.132546800667134
"18",-7,0.153096752761565,0.13197802185479
"19",-6,0.144248940271038,0.132898939509499
"20",-5,0.134571825771833,0.132898269258172
"21",-4,0.122968102262765,0.13268560333591
"22",-3,0.108921194388826,0.132245904348815
"23",-2,0.0953533997626693,0.128292111987091
"24",-1,0.0847346552929349,0.118011596526548
