"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0498734453007128,0.00341514453770454,2.03550587977778e-05,0.153967523932875,0.501349819786919,-9243.08358918139
"Std.",0.000173118906221014,0.000170041261009551,2.0817602314501e-05,0.0158286891662775,0.00218371735959368,1.75263949539709
"Acceptance ratio",0.19082,0.15284,0.11492,0.25742,0.19924,0.63718
"0%",0.0492362958262526,0.00272134923470623,1.1281500417957e-09,0.102201990023611,0.492956391332366,-9256.25657755739
"2.5%",0.049536001788367,0.0030875508826364,5.51204701240335e-07,0.125071232649527,0.497036123074273,-9247.38851988048
"5%",0.0495921216635287,0.00313880723508044,1.01221197823245e-06,0.128748210039887,0.497743138859454,-9246.41990727361
"7.5%",0.0496300179633889,0.00317345826697321,1.577342184202e-06,0.131475814057517,0.498183363489364,-9245.86033635816
"10%",0.0496553990704186,0.00319973688985558,2.14923417861006e-06,0.133875437599276,0.498546587943448,-9245.4414022007
"12.5%",0.0496758578261205,0.00322271076864315,2.79973754139115e-06,0.135822817742954,0.498863131469073,-9245.12514481765
"15%",0.0496945764142224,0.00323773369326303,3.45506668900144e-06,0.137513611091211,0.4991254798923,-9244.85862384669
"17.5%",0.0497125502704116,0.0032564967789771,3.91867304711478e-06,0.139081778933077,0.499325716694379,-9244.60360829426
"20%",0.0497259511938366,0.0032699007226285,4.69521449788605e-06,0.140562058619685,0.499510264280691,-9244.3852331482
"22.5%",0.0497414476866124,0.00328413955111666,5.2470283179156e-06,0.142016115991,0.499681643862384,-9244.18613722891
"25%",0.0497568009049729,0.00329854795021388,5.96404129874832e-06,0.143185771488652,0.499839569951357,-9243.99849756239
"27.5%",0.0497700127368278,0.00330938310100749,6.69472553221017e-06,0.144237055858833,0.500051959544672,-9243.83893592548
"30%",0.0497831490526677,0.00332349202365693,7.38891539200624e-06,0.14523540498448,0.50020874336086,-9243.6840760438
"32.5%",0.0497944598402831,0.00333673009051648,8.09430591534417e-06,0.146374657806196,0.500351980272993,-9243.55203186916
"35%",0.0498074198430506,0.00334730655325005,8.72744986401331e-06,0.147414262325605,0.500499527350957,-9243.40866594422
"37.5%",0.0498182884477235,0.0033599847535751,9.6313693680613e-06,0.148472688690848,0.500648566483123,-9243.28359423531
"40%",0.0498295306536334,0.00337158538774348,1.03408227913943e-05,0.149491156046516,0.500789751077075,-9243.17168636734
"42.5%",0.0498394758193728,0.00338293270086537,1.11155678269029e-05,0.150560655680641,0.500919332950242,-9243.06065869006
"45%",0.0498495716805929,0.00339258605484504,1.2026751615109e-05,0.151619883242832,0.501077550244955,-9242.95193335954
"47.5%",0.0498608905147686,0.00340294140870042,1.29364088459455e-05,0.152547903688372,0.501212656831359,-9242.8428038996
"50%",0.0498705696471149,0.00341297629684448,1.37876489836635e-05,0.153466494544984,0.501338918427077,-9242.73981546948
"52.5%",0.0498797532485791,0.00342589111381983,1.46821123716463e-05,0.154349807439841,0.501498161524222,-9242.64043560009
"55%",0.0498915577830043,0.00343698409376613,1.55789796101946e-05,0.155326727970414,0.501637684934054,-9242.54281341277
"57.5%",0.0499024220314691,0.00344623463106375,1.70644953465532e-05,0.156399012715836,0.501793619161515,-9242.45458444143
"60%",0.0499129180890448,0.00345560159824013,1.79447918116305e-05,0.157488187227269,0.501932499969958,-9242.36095753761
"62.5%",0.0499241804385456,0.00346739235778308,1.93006565693845e-05,0.158541648382539,0.502068152910641,-9242.26596162187
"65%",0.049936235782624,0.00347951113513086,2.08361201868532e-05,0.15960405514106,0.502212185107902,-9242.17133544799
"67.5%",0.0499484468811678,0.00349028123787718,2.23468638660879e-05,0.160741052204014,0.502376359779846,-9242.07315504289
"70%",0.0499595008883491,0.00350210074233479,2.39318560168832e-05,0.161816822063645,0.502538919699247,-9241.97803953208
"72.5%",0.0499743808292883,0.00351277938465072,2.56416491842766e-05,0.162861583746308,0.502697704376883,-9241.88632001732
"75%",0.0499863650126199,0.00352506747374938,2.76998208623962e-05,0.1641834764507,0.50282945924002,-9241.79812742155
"77.5%",0.0500035427396227,0.00354025894670694,2.97357718802187e-05,0.165524228761764,0.502986915707144,-9241.70801549832
"80%",0.0500198882514787,0.00355678152514381,3.20399374444293e-05,0.166838101541666,0.503178388830106,-9241.61159842533
"82.5%",0.0500392007046341,0.00357471245626374,3.52098182781278e-05,0.168541875443505,0.503387665088246,-9241.51082850227
"85%",0.0500546217398982,0.00359233636092372,3.8352568214657e-05,0.170334587132456,0.503586317217579,-9241.40517917424
"87.5%",0.0500782006511653,0.00361193453741586,4.26326113977434e-05,0.172404207366209,0.503835557866926,-9241.29734644737
"90%",0.0500974725461916,0.00363556864435817,4.7738154496441e-05,0.174520689606709,0.504120915516487,-9241.18509856303
"92.5%",0.0501278473325527,0.00366103023210465,5.34725979760406e-05,0.177514333709769,0.504454483705296,-9241.04610651188
"95%",0.0501642997021108,0.00369519841656118,6.24278444226675e-05,0.181336691803155,0.504934103897919,-9240.88535863663
"97.5%",0.0502151435192384,0.0037540067206833,7.84907625408329e-05,0.186243833418963,0.505637581854609,-9240.68721839181
"100%",0.0505176051582124,0.00414404518821433,0.000232069338444797,0.235529200386818,0.509815585818156,-9240.13379007032
