pos	5pC>T
1	0.0146573936228375
2	0.0265711123093211
3	0.0145177528593816
4	0.0174314408665437
5	0.0161007840611219
6	0.0200554544752338
7	0.0217473988113577
8	0.0179701236446836
9	0.0185783039319471
10	0.0204185850438248
11	0.0163965549301779
12	0.0175453703024933
13	0.0181144760922999
14	0.0192724592073633
15	0.0182579862358233
16	0.0185795828937988
17	0.0176392095627701
18	0.0179474002931277
19	0.0164968912152348
20	0.0164462062388522
21	0.0172427831387553
22	0.0190673608259929
23	0.0191025999484694
24	0.0229646678137719
25	0.0228331520040006
